year,sample,island,pool,pool_suitable
1985,2,SK,40A,n
1986,1,SK,40A,n
1986,2,SK,40A,n
1987,1,SK,40A,n
1987,2,SK,40A,n
1988,1,SK,40A,n
1988,2,SK,40A,n
1989,1,SK,40A,n
1989,2,SK,40A,n
1990,1,SK,40A,n
1990,2,SK,40A,n
1991,1,SK,40A,n
1991,2,SK,40A,n
1992,1,SK,40A,n
1992,2,SK,40A,n
1993,1,SK,40A,n
1993,2,SK,40A,n
1994,1,SK,40A,n
1994,2,SK,40A,n
1995,1,SK,40A,n
1995,2,SK,40A,n
1996,1,SK,40A,n
1996,2,SK,40A,n
1997,1,SK,40A,n
1997,2,SK,40A,n
1998,1,SK,40A,n
1998,2,SK,40A,n
1999,1,SK,40A,n
1999,2,SK,40A,n
2000,1,SK,40A,n
2000,2,SK,40A,n
2001,1,SK,40A,n
2001,2,SK,40A,n
2002,1,SK,40A,n
2002,2,SK,40A,n
2003,1,SK,40A,n
2003,2,SK,40A,n
2004,1,SK,40A,n
2004,2,SK,40A,n
2005,1,SK,40A,n
2005,2,SK,40A,n
2006,1,SK,40A,n
2006,2,SK,40A,n
2007,1,SK,40A,n
2007,2,SK,40A,n
2008,1,SK,40A,n
2008,2,SK,40A,n
2009,1,SK,40A,n
2009,2,SK,40A,n
2010,1,SK,40A,n
2010,2,SK,40A,n
2011,1,SK,40A,n
2011,2,SK,40A,n
2012,1,SK,40A,n
2012,2,SK,40A,n
1982,2,G,50A,n
1983,1,G,50A,n
1983,2,G,50A,n
1984,1,G,50A,n
1984,2,G,50A,n
1985,1,G,50A,n
1985,2,G,50A,n
1986,1,G,50A,n
1986,2,G,50A,n
1987,1,G,50A,n
1987,2,G,50A,n
1988,1,G,50A,n
1988,2,G,50A,n
1989,1,G,50A,n
1989,2,G,50A,n
1990,1,G,50A,n
1990,2,G,50A,n
1991,1,G,50A,n
1991,2,G,50A,n
1992,1,G,50A,n
1992,2,G,50A,n
1993,1,G,50A,n
1993,2,G,50A,n
1994,1,G,50A,n
1994,2,G,50A,n
1995,1,G,50A,n
1995,2,G,50A,n
1996,1,G,50A,n
1996,2,G,50A,n
1997,1,G,50A,n
1997,2,G,50A,n
1998,1,G,50A,n
1998,2,G,50A,n
1999,1,G,50A,n
1999,2,G,50A,n
2000,1,G,50A,n
2000,2,G,50A,n
2001,1,G,50A,n
2001,2,G,50A,n
2002,1,G,50A,n
2002,2,G,50A,n
2003,1,G,50A,n
2003,2,G,50A,n
2004,1,G,50A,n
2004,2,G,50A,n
2005,1,G,50A,n
2005,2,G,50A,n
2006,1,G,50A,n
2006,2,G,50A,n
2007,1,G,50A,n
2007,2,G,50A,n
2008,1,G,50A,n
2008,2,G,50A,n
2009,1,G,50A,n
2009,2,G,50A,n
2010,1,G,50A,n
2010,2,G,50A,n
1982,2,M,69A,n
1983,1,M,69A,n
1983,2,M,69A,n
1984,1,M,69A,n
1984,2,M,69A,n
1985,1,M,69A,n
1985,2,M,69A,n
1986,1,M,69A,n
1986,2,M,69A,n
1987,1,M,69A,n
1987,2,M,69A,n
1988,1,M,69A,n
1988,2,M,69A,n
1989,1,M,69A,n
1989,2,M,69A,n
1990,1,M,69A,n
1990,2,M,69A,n
1991,1,M,69A,n
1991,2,M,69A,n
1992,1,M,69A,n
1992,2,M,69A,n
1993,1,M,69A,n
1993,2,M,69A,n
1994,1,M,69A,n
1994,2,M,69A,n
1995,1,M,69A,n
1995,2,M,69A,n
1996,1,M,69A,n
1996,2,M,69A,n
1997,1,M,69A,n
1997,2,M,69A,n
1998,1,M,69A,n
1998,2,M,69A,n
1999,1,M,69A,n
1999,2,M,69A,n
2000,1,M,69A,n
2000,2,M,69A,n
2001,1,M,69A,n
2001,2,M,69A,n
2002,1,M,69A,n
2002,2,M,69A,n
2003,1,M,69A,n
2003,2,M,69A,n
2004,1,M,69A,n
2004,2,M,69A,n
2005,1,M,69A,n
2005,2,M,69A,n
2006,1,M,69A,n
2006,2,M,69A,n
2007,1,M,69A,n
2007,2,M,69A,n
2008,1,M,69A,n
2008,2,M,69A,n
2009,1,M,69A,n
2009,2,M,69A,n
2010,1,M,69A,n
2010,2,M,69A,n
2011,1,M,69A,n
2011,2,M,69A,n
2012,1,M,69A,n
2012,2,M,69A,n
2013,1,M,69A,n
2013,2,M,69A,n
2014,1,M,69A,n
2014,2,M,69A,n
2015,1,M,69A,n
2015,2,M,69A,n
1982,2,FS,6A,n
1983,1,FS,6A,n
1983,2,FS,6A,n
1984,1,FS,6A,n
1984,2,FS,6A,n
1985,1,FS,6A,n
1985,2,FS,6A,n
1986,1,FS,6A,n
1986,2,FS,6A,n
1987,1,FS,6A,n
1987,2,FS,6A,n
1988,1,FS,6A,n
1988,2,FS,6A,n
1989,1,FS,6A,n
1989,2,FS,6A,n
1990,1,FS,6A,n
1990,2,FS,6A,n
1991,1,FS,6A,n
1991,2,FS,6A,n
1992,1,FS,6A,n
1992,2,FS,6A,n
1993,1,FS,6A,n
1993,2,FS,6A,n
1994,1,FS,6A,n
1994,2,FS,6A,n
1995,1,FS,6A,n
1995,2,FS,6A,n
1996,1,FS,6A,n
1996,2,FS,6A,n
1997,1,FS,6A,n
1997,2,FS,6A,n
1998,1,FS,6A,n
1998,2,FS,6A,n
1999,1,FS,6A,n
1999,2,FS,6A,n
2000,1,FS,6A,n
2000,2,FS,6A,n
2001,1,FS,6A,n
2001,2,FS,6A,n
2002,1,FS,6A,n
2002,2,FS,6A,n
2003,1,FS,6A,n
2003,2,FS,6A,n
2004,1,FS,6A,n
2004,2,FS,6A,n
2005,1,FS,6A,n
2005,2,FS,6A,n
2006,1,FS,6A,n
2006,2,FS,6A,n
2007,1,FS,6A,n
2007,2,FS,6A,n
2008,1,FS,6A,n
2008,2,FS,6A,n
2009,1,FS,6A,n
2009,2,FS,6A,n
